ROW_ID,GENERO,ANIOS,ESTADO,FECHA_ULT_COMPRA,ARTICULOS_BEBES,MONTO_BEBES,ARTICULOS_OTROS,MONTO_OTROS,ARTICULOS_TOTALES,MONTO_TOTALES,Q1,Q2,Q3,Q4
12494,M,33,PUEBLA,2022-04-01,3,"92,210,223,191",13,"3,012,293,056,566",16,"3,934,395,288,476",0,16,0,0
12854,F,61,HIDALGO,2022-08-01,10,1151.1,6,950.5,16,2101.6,0,3,13,0
13258,F,26,QUERETARO,2022-06-01,2,"91,846,153,846",14,"2,883,170,568,563",16,"2,975,016,722,409",0,16,0,0
11058,F,48,NUEVO LEON,2022-05-01,3,"752,998,072,406",13,"3,211,293,042,843",16,"3,964,291,115,249",0,16,0,0
11894,M,30,DISTRITO FEDERAL,2022-06-01,3,"701,809,909,165",13,"4,068,106,967,108",16,"4,769,916,876,273",0,16,0,0
1109,M,45,PUEBLA,2022-04-01,2,"226,635,230,183",14,"2,784,088,602,864",16,"3,010,723,833,047",15,1,0,0
1181,M,50,PUEBLA,2022-05-01,7,"620,834,571,913",9,"2,373,675,428,087",16,2994.51,2,14,0,0
1034,M,34,DISTRITO FEDERAL,2022-05-01,3,283,13,2683.65,16,2966.65,0,16,0,0
1133,M,31,DURANGO,2022-08-01,5,905.4,11,2529.45,16,3434.85,0,9,7,0
121164,M,33,,2022-05-01,6,992.4,10,3002.25,16,3994.65,0,16,0,0
11449,M,29,DISTRITO FEDERAL,2022-03-01,2,158,14,1402,16,1560,16,0,0,0
11855,M,47,QUERETARO,2022-06-01,4,"959,069,450,691",12,"2,879,162,672,661",16,"3,838,232,123,352",0,16,0,0
114209,F,73,TAMAULIPAS,2022-05-01,5,"971,399,210,991",11,"2,939,200,789,008",16,"3,910,599,999,999",0,16,0,0
11760,M,56,SINALOA,2022-03-01,10,779.15,6,950,16,1729.15,16,0,0,0
11776,M,45,SINALOA,2022-05-01,11,"1,407,248,850,854",5,1635.3,16,"3,042,548,850,854",6,10,0,0
11890,M,67,MORELOS,2022-07-01,10,1254.69,6,1326.91,16,2581.6,11,0,5,0
